id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_postal,code_commune,nom_commune,code_departement,type_local,surface_reelle_bati,nombre_pieces_principales
2024-001,2024-01-15,Vente,288000,33000,33063,Bordeaux,33,Appartement,60,3
2024-002,2024-02-03,Vente,490000,33000,33063,Bordeaux,33,Maison,100,5
2024-003,2024-02-20,Vente,336000,33800,33063,Bordeaux,33,Appartement,72,3
2024-004,2024-03-11,Vente,235000,33000,33063,Bordeaux,33,Appartement,48,2
2024-005,2024-04-05,Vente,620000,33200,33063,Bordeaux,33,Maison,125,6
2024-006,2024-05-19,Vente,196000,33100,33063,Bordeaux,33,Appartement,42,2
2024-007,2024-06-01,Vente,357000,33000,33063,Bordeaux,33,Appartement,74,3
2024-900,2024-03-01,Vente,500000,33000,33063,Bordeaux,33,Appartement,2,1
2024-901,2024-03-02,Vente,300000,33000,33063,Bordeaux,33,Local industriel. commercial ou assimilé,300,0
2024-902,2024-03-03,Vente,,33000,33063,Bordeaux,33,Appartement,55,2
2024-010,2024-01-22,Vente,190000,33130,33069,Bègles,33,Appartement,48,2
2024-011,2024-02-14,Vente,320000,33130,33069,Bègles,33,Maison,80,4
2024-012,2024-03-30,Vente,252000,33130,33069,Bègles,33,Appartement,62,3
2024-013,2024-04-18,Vente,169000,33130,33069,Bègles,33,Appartement,42,2
2024-014,2024-05-27,Vente,441000,33130,33069,Bègles,33,Maison,110,5
2024-015,2024-06-15,Vente,205000,33130,33069,Bègles,33,Appartement,52,2
2024-020,2024-02-09,Vente,259000,33170,33192,Gradignan,33,Appartement,70,3
2024-021,2024-04-12,Vente,342000,33170,33192,Gradignan,33,Maison,90,4
2024-022,2024-05-08,Vente,180000,33170,33192,Gradignan,33,Appartement,50,2
2024-920,2024-03-15,Echange,600000,33170,33192,Gradignan,33,Maison,140,6
2024-921,2024-03-16,Vente,250000,33170,33192,Gradignan,33,Dépendance,0,0
2024-030,2024-01-30,Vente,228000,33700,33281,Mérignac,33,Appartement,60,3
2024-031,2024-02-25,Vente,342000,33700,33281,Mérignac,33,Maison,90,4
2024-032,2024-03-19,Vente,190000,33700,33281,Mérignac,33,Appartement,50,2
2024-033,2024-04-27,Vente,399000,33700,33281,Mérignac,33,Maison,105,5
2024-034,2024-05-14,Vente,285000,33700,33281,Mérignac,33,Appartement,75,3
2024-035,2024-06-22,Vente,234000,33700,33281,Mérignac,33,Appartement,61,3
2024-040,2024-01-12,Vente,234000,33600,33318,Pessac,33,Appartement,60,3
2024-041,2024-02-28,Vente,351000,33600,33318,Pessac,33,Maison,90,4
2024-042,2024-03-22,Vente,195000,33600,33318,Pessac,33,Appartement,50,2
2024-043,2024-04-09,Vente,410000,33600,33318,Pessac,33,Maison,105,5
2024-044,2024-05-30,Vente,289000,33600,33318,Pessac,33,Appartement,74,3
2024-045,2024-06-18,Vente,222000,33600,33318,Pessac,33,Appartement,57,2
2024-050,2024-01-19,Vente,252000,33400,33449,Talence,33,Appartement,60,3
2024-051,2024-02-11,Vente,378000,33400,33449,Talence,33,Maison,90,4
2024-052,2024-03-27,Vente,210000,33400,33449,Talence,33,Appartement,50,2
2024-053,2024-04-15,Vente,441000,33400,33449,Talence,33,Maison,105,5
2024-054,2024-05-23,Vente,308000,33400,33449,Talence,33,Appartement,73,3
2024-055,2024-06-09,Vente,231000,33400,33449,Talence,33,Appartement,55,2
